Year,Category,Nominee,Additional Info,Won
1996,Documentary,Never Give Up The 20th Century Odyssey of Herbert Zipper,NONE,No
1996,Documentary,One Survivor Remembers,NONE,No
1996,Documentary,The Battle over Citizen Kane,NONE,No
1996,Documentary,The Living Sea,NONE,No
1996,Documentary,The Shadow of Hate,NONE,No
1996,Documentary,Troublesome Creek A Midwestern,NONE,No
1996,Film Editing,Apollo 13,NONE,Yes
1996,Film Editing,Babe,NONE,No
1996,Film Editing,Braveheart,NONE,No
1996,Film Editing,Crimson Tide,NONE,No
1996,Film Editing,Seven,NONE,No
1996,Foreign Language Film,All Things Fair,NONE,No
1996,Foreign Language Film,Antonia's Line,NONE,Yes
1996,Foreign Language Film,Dust of Life,NONE,No
1996,Foreign Language Film,O Quatrilho,NONE,No
1996,Foreign Language Film,The Star Maker,NONE,No
1996,Production Design,A Little Princess,NONE,No
1996,Production Design,Apollo 13,NONE,No
1996,Production Design,Babe,NONE,No
1996,Production Design,Restoration,NONE,Yes
1996,Production Design,Richard III,NONE,No
1996,Score,Apollo 13,NONE,No
1996,Score,Braveheart,NONE,No
1996,Score,Nixon,NONE,No
1996,Score,Pocahontas,NONE,No
1996,Score,Sabrina,NONE,No
1996,Score,Sense and Sensibility,NONE,No
1996,Score,The American President,NONE,No
1996,Score,The Postman,NONE,Yes
1996,Score,Toy Story,NONE,No
1996,Score,Unstrung Heroes,NONE,No
1996,Screenplay - Adapted,Apollo 13,NONE,No
1996,Screenplay - Adapted,Babe,NONE,No
1996,Screenplay - Adapted,Leaving Las Vegas,NONE,No
1996,Screenplay - Adapted,Sense and Sensibility,NONE,Yes
1996,Screenplay - Adapted,The Postman,NONE,No
1996,Screenplay - Original,Braveheart,NONE,No
1996,Screenplay - Original,Mighty Aphrodite,NONE,No
1996,Screenplay - Original,Nixon,NONE,No
1996,Screenplay - Original,The Usual Suspects,NONE,Yes
1996,Screenplay - Original,Toy Story,NONE,No
1996,Song,Colors of the Wind,Pocahontas,Yes
1996,Song,Dead Man Walkin,Dead Man Walking,No
1996,Song,Have You Ever Really Loved a Woman,Don Juan DeMarco,No
1996,Song,Moonlight,Sabrina,No
1996,Song,You've Got a Friend in Me,Toy Story,No
